#Ra, Dec, RRLIndicator, RRLtype, P_true, P_best, chi2dof, N, tID, phi, r0, P_template, rExt, d, uF, gF, rF, iF, zF, ugmin, ugminErr, grmin, grminErr, file #  
12.3486559579,-0.29985611043,1,ab,0.515945314351,0.515928768685,3.8938715238,29,98,0.198141781815,16.8425553525,0.557552667686,0.067,21.72,18.553,17.385,17.27,17.254,17.265,1.144,0.013,0.241,0.008,2924454639279214947.pkl
347.431257193,-0.48861158917,1,c,0.328688653024,0.484944013302,2.76196079164,20,264,-0.00114916667453,17.5919675756,0.436911440463,0.099,25.87,18.901,17.725,17.705,17.73,17.763,1.138,0.024,0.128,0.006,2930260060674141584.pkl
13.3693519042,-0.722535231585,1,ab,0.550572664997,0.550550127513,3.21975525982,27,306,-0.141031555229,16.8732957485,0.559285946433,0.099,22.55,18.632,17.459,17.364,17.334,17.317,1.156,0.016,0.241,0.013,2942398669044683110.pkl
348.462061009,0.804736732836,1,ab,0.686835942046,0.686836555226,0.979880477346,22,92,-0.149078422462,17.8312582706,0.622446825464,0.124,33.45,19.506,18.344,18.181,18.127,18.114,1.1,0.026,0.26,0.008,2948151313881317620.pkl
13.4092250321,-0.0507302698921,1,ab,0.527015758519,0.527012148685,1.70989673968,20,98,-0.0191842801541,16.0253789716,0.557552667686,0.068,14.38,17.622,16.473,16.4,16.402,16.399,1.117,0.01,0.232,0.007,2978462650435715326.pkl
346.615248711,-0.244292633526,1,c,0.350861318451,0.541261467186,10.1937327417,32,138,0.0495340405987,15.5805907408,0.459303362229,0.126,11.05,17.062,15.891,15.838,15.857,15.885,1.145,0.011,0.131,0.008,2984320848388668579.pkl
345.427647524,-1.12776717381,1,ab,0.626807812976,0.626809597212,1.50535126515,22,52,0.297493299162,16.1959064404,0.71532981193,0.147,15.34,17.858,16.665,16.468,16.4,16.395,1.197,0.013,0.289,0.005,2984443993690833022.pkl
347.682830211,1.04090758484,1,ab,0.578921088225,0.578934778764,1.74587518043,19,180,0.134064804254,17.7883837717,0.616433178532,0.126,31.92,19.418,18.253,18.064,18.015,18.019,1.172,0.028,0.278,0.018,3002212101595816862.pkl
14.6166314978,-0.750593211165,1,c,0.333306190541,0.500632234372,5.56341866363,31,198,-0.144346866198,17.140623816,0.485873184148,0.099,21.78,18.607,17.359,17.319,17.333,17.355,1.201,0.009,0.113,0.005,3014385894338349574.pkl
344.833244364,0.137018648679,1,ab,0.569410914111,0.569414987151,3.91637415415,25,226,0.270971087317,17.5436747506,0.574309100802,0.151,28.46,19.135,17.978,17.848,17.815,17.785,1.171,0.008,0.261,0.008,3092477608189328065.pkl
16.2509791882,-0.395081375081,1,ab,0.744957258204,0.744972336941,0.952771272187,26,376,0.171081794887,19.2266042846,0.646699776606,0.104,59.13,20.71,19.596,19.397,19.355,19.344,1.038,0.028,0.243,0.03,3104405110327815455.pkl
15.62111391,-0.0592407976511,1,ab,0.635454835852,0.635454971654,1.47387057344,41,278,-0.141955719511,15.518070171,0.61630814387,0.083,11.07,17.112,15.953,15.763,15.712,15.704,1.162,0.006,0.259,0.003,3104457886885947496.pkl
16.4987824555,-0.378880376454,1,ab,0.5877128845,0.587716837743,3.65096198896,23,214,0.172982356018,16.4146903042,0.614298415366,0.102,16.33,17.882,16.775,16.638,16.592,16.601,1.107,0.005,0.227,0.006,3122401916651301731.pkl
16.3905845479,-0.395670817487,1,ab,0.627313656395,0.62730994774,2.20980148712,20,80,-0.312194308326,17.602361423,0.569410914111,0.095,27.28,19.011,17.875,17.77,17.757,17.763,1.111,0.023,0.239,0.007,3122419508837297468.pkl
344.538792187,0.871270304709,1,c,0.39419605446,0.651827806458,8.52738079571,26,192,-0.0225861613148,15.5813699304,0.601955559798,0.159,10.59,16.959,15.769,15.795,15.854,15.899,1.156,0.007,0.038,0.007,3146503211532153577.pkl
16.9535921149,-0.224622413208,1,ab,0.531023592279,0.531021009075,0.825353687223,28,236,-0.0934269444489,16.7351901358,0.536477535378,0.084,21.74,18.527,17.382,17.277,17.269,17.271,1.147,0.002,0.25,0.012,3158430713670264886.pkl
342.609356877,-0.460042070388,1,c,0.305165284445,0.406498616913,1.06710768796,22,294,-0.0909124401462,19.0334477026,0.47621836446,0.248,53.58,20.513,19.305,19.289,19.323,19.351,1.107,0.06,0.118,0.015,3164693531902064859.pkl
341.963834411,-1.24845502,1,ab,0.454669279378,0.454660030165,11.0470891155,24,178,0.129332130447,16.6523096191,0.5190620232,0.251,18.31,18.152,16.982,16.947,16.954,16.988,1.159,0.012,0.214,0.009,3164763900646193461.pkl
342.677945361,-0.128862352691,1,ab,0.469270094788,0.469268195214,2.95940706705,27,54,0.138062810866,15.7590800821,0.469392103369,0.249,14.25,17.596,16.45,16.386,16.407,16.423,1.129,0.013,0.231,0.006,3182672746039235652.pkl
340.750410324,-1.23237720598,1,ab,0.687576257588,0.687575628971,1.25492218668,30,24,0.111501523614,16.3859939814,0.643236994463,0.155,16.3,17.981,16.812,16.583,16.51,16.501,1.173,0.009,0.281,0.006,3218859872732565742.pkl
341.613719123,-0.274040171108,1,c,0.262327714715,0.544019536458,8.13569000322,25,192,0.26676252391,16.9605907991,0.601955559798,0.217,21.37,18.5,17.293,17.316,17.387,17.436,1.182,0.009,0.02,0.008,3236786310311805421.pkl
340.167779999,-1.11885040668,1,ab,0.682099803504,0.682091229445,0.944756320553,31,194,0.274710493989,19.2698248284,0.597984506204,0.156,68.64,20.911,19.913,19.732,19.664,19.624,1.021,0.062,0.282,0.014,3254923854123628099.pkl
20.2193130174,-1.06994183885,1,ab,0.583379425265,0.583368633554,0.578554609461,33,234,0.063323539023,19.1888785616,0.554513694095,0.097,63.36,20.895,19.728,19.572,19.521,19.484,1.141,0.06,0.28,0.013,3266288406308450226.pkl
342.661270208,1.12228315052,1,c,0.40812719553,0.405754554372,0.987703632663,21,198,-0.167980221882,18.1566839927,0.485873184148,0.26,36.14,19.59,18.473,18.399,18.392,18.422,1.083,0.024,0.166,0.01,3272674369842698828.pkl
341.059345858,-0.181597330902,1,ab,0.570872078758,0.570852269152,1.26878458423,23,160,-0.146064794817,17.0755076546,0.563838556987,0.176,24.75,18.859,17.682,17.536,17.508,17.502,1.156,0.007,0.268,0.016,3272832699516787335.pkl
340.565038701,-0.674091707302,1,ab,0.549881497762,0.549024895023,3.08722922701,22,342,0.274550298794,16.1577651423,0.625788437679,0.166,16.17,17.906,16.742,16.634,16.6,16.596,1.139,0.018,0.248,0.016,3272885476074965601.pkl
20.5277448054,-1.17325554805,1,ab,0.636774835461,0.636781238031,1.08800562939,25,164,0.0167864184771,16.0052519539,0.557696402635,0.131,15.15,17.723,16.608,16.48,16.451,16.448,1.069,0.018,0.267,0.007,3284285212631726893.pkl
18.6942755879,0.345847919852,1,c,0.336404532462,0.669026933253,10.6963695123,24,346,0.308332732165,15.465617294,0.624410478971,0.084,10.21,16.88,15.716,15.671,15.695,15.736,1.132,0.006,0.129,0.005,3284461134492449972.pkl
18.3891456376,1.04427600385,1,ab,0.617988666885,0.618012830916,0.4998713379,19,372,0.230489225981,15.0359592708,0.614429845684,0.083,8.88,16.634,15.467,15.295,15.225,15.199,1.158,0.008,0.247,0.01,3302545901746101809.pkl
340.949096744,0.500311002239,1,ab,0.507846617882,0.507872807115,2.1538584936,23,102,-0.0171626205218,18.2061973617,0.542664604021,0.2,34.98,19.518,18.401,18.331,18.329,18.339,1.148,0.089,0.245,0.025,3308826312163958619.pkl
340.050495421,-0.253461249053,1,ab,0.58611445137,0.58611147052,2.23133354919,24,378,-0.347881365957,17.9216509859,0.580370636475,0.146,36.06,19.645,18.511,18.338,18.301,18.287,1.08,0.032,0.282,0.012,3308914273094188086.pkl
338.893193429,-1.24061165836,1,ab,0.542616712208,0.542622458991,1.40211267084,34,152,0.0123739817692,16.8913906864,0.503096383566,0.152,23.55,18.701,17.547,17.468,17.446,17.453,1.101,0.023,0.251,0.01,3309037418396450146.pkl
20.9074362201,-0.89445141767,1,ab,0.581607981909,0.581617388438,1.03506067248,28,250,-0.0254201130228,15.0111513837,0.581709803143,0.139,9.07,16.722,15.508,15.348,15.302,15.305,1.199,0.013,0.258,0.003,3320314009650846335.pkl
339.853449083,-0.0741608482251,1,ab,0.554791623256,0.554792808871,2.67993702081,33,96,-0.306335901738,16.5092895369,0.508395001373,0.153,19.26,18.269,17.121,17.013,16.999,17.003,1.121,0.013,0.251,0.004,3344943070112989600.pkl
339.440122906,-0.42552887987,1,ab,0.559209641302,0.559204569582,0.417648516399,21,122,0.0911315569634,19.6972575169,0.636983374644,0.146,80.95,21.302,20.233,20.14,20.13,20.09,1.042,0.125,0.218,0.016,3344978254484655117.pkl
339.142281528,-0.613647838285,1,ab,0.532723258513,0.532721905195,2.75801474234,24,288,0.00538482134167,15.395437617,0.585160986675,0.137,12.62,17.421,16.209,16.09,16.063,16.074,1.191,0.006,0.254,0.006,3345013438857194124.pkl
338.8388453,-0.797776999009,1,ab,0.585812448979,0.585809269936,1.88419565105,30,84,-0.0138777549691,17.9101615964,0.581607981909,0.137,34.87,19.674,18.444,18.257,18.189,18.204,1.219,0.016,0.29,0.005,3345031031043250203.pkl
338.548446433,-1.02300241398,1,ab,0.459102100742,0.459103996,11.3888809668,26,18,-0.0473092767059,16.8322900097,0.550572664997,0.172,19.89,18.37,17.171,17.113,17.117,17.145,1.146,0.014,0.226,0.008,3345066215415347753.pkl
340.019853507,0.70999981092,1,ab,0.576610027611,0.517165389031,9.5238748516,22,328,0.15631500694,16.4952795253,0.566611085659,0.198,17.64,18.1,16.95,16.796,16.753,16.753,1.137,0.007,0.268,0.009,3380919090573945231.pkl
339.363632002,0.219946186541,1,ab,0.758405223932,0.758532017212,2.77498948715,25,52,-0.00435462670824,16.2412552944,0.71532981193,0.169,15.32,17.818,16.668,16.46,16.39,16.37,1.137,0.015,0.297,0.003,3380971867131967122.pkl
338.511068464,-0.29037943329,1,ab,0.446054610516,0.446064267186,4.75663571648,32,138,-0.230180158631,16.9767429995,0.459303362229,0.149,20.18,18.327,17.188,17.17,17.194,17.208,1.133,0.016,0.187,0.003,3399074226571401703.pkl
20.8895304162,1.07241262753,1,ab,0.638969182657,0.638967891975,1.45743488335,21,284,-0.342796873795,16.9482854527,0.636686341487,0.08,22.44,18.619,17.465,17.329,17.291,17.276,1.129,0.016,0.263,0.006,3446537944519669998.pkl
338.351574342,0.558166350528,1,ab,0.52997322774,0.529971418991,1.07159010775,30,152,-0.244836915521,16.9972513113,0.503096383566,0.227,24.15,18.739,17.602,17.52,17.518,17.537,1.094,0.012,0.245,0.004,3453064645542012574.pkl
337.771829171,0.0939648964529,1,ab,0.670265455378,0.670259328035,1.33340589998,33,168,0.128258396527,16.6676130891,0.649984725123,0.196,17.84,18.135,17.003,16.785,16.713,16.706,1.121,0.011,0.277,0.007,3453117422099854625.pkl
337.739176382,-0.0563802021253,1,c,0.312324736574,0.47378930263,14.4150537413,33,274,-0.131107712645,16.1622316277,0.570380002634,0.193,14.06,17.553,16.396,16.389,16.446,16.486,1.115,0.007,0.087,0.003,3453135014285899645.pkl
336.894075401,-0.632461030988,1,c,0.315616665162,0.661593153715,3.89894925685,20,166,-0.124116130703,17.084492068,0.604475547035,0.197,21.04,18.527,17.285,17.244,17.259,17.293,1.236,0.016,0.117,0.009,3453205383030423716.pkl
23.4702778672,-0.750704345776,1,ab,0.606049003584,0.606062821172,1.59661242634,21,348,-0.0121825254233,16.7204394899,0.680391929066,0.089,20.02,18.413,17.217,17.081,17.038,17.043,1.156,0.016,0.242,0.008,3464306052424170143.pkl
21.8098479029,0.734363695775,1,c,0.378616771287,0.518769991654,4.84553994255,28,278,0.15976377864,17.2136747779,0.61630814387,0.067,23.03,18.613,17.485,17.431,17.441,17.468,1.091,0.005,0.127,0.007,3464481974284645595.pkl
336.295033738,-0.922711734149,1,ab,0.615207609048,0.615206093658,0.477017906949,23,148,-0.123002515201,19.4382202119,0.636128907018,0.212,75.02,21.176,20.088,19.948,19.905,19.885,1.253,0.133,0.305,0.019,3471272558097995362.pkl
22.0565335159,1.23263702854,1,ab,0.587908147105,0.587886597743,1.3702708927,25,214,0.266186497543,17.3828160956,0.614298415366,0.068,25.67,18.976,17.773,17.601,17.542,17.539,1.205,0.013,0.272,0.007,3500528363489651140.pkl
336.363371316,-0.301492636141,1,c,0.3298022767,0.654701349716,3.34817295603,19,170,-0.18628693529,17.1760271473,0.622183404823,0.233,21.82,18.52,17.371,17.31,17.325,17.352,1.102,0.011,0.14,0.006,3507266170744859520.pkl
336.2299075,0.0449031206398,1,c,0.358943659988,0.358953013302,3.01349220834,25,264,-0.0421564728006,16.8992578589,0.436911440463,0.21,19.33,18.25,17.122,17.029,17.023,17.029,1.099,0.017,0.167,0.009,3525262977068280071.pkl
334.78711365,-0.892872694321,1,ab,0.561335434998,0.561336062521,1.34175339063,27,176,-0.134607008477,18.6143570203,0.519668054603,0.237,52.34,20.467,19.307,19.164,19.118,19.114,1.192,0.061,0.293,0.013,3543400520880080528.pkl
334.482925668,-1.1186076673,1,ab,0.622012236142,0.622028056593,1.4456215488,22,48,-0.040314357365,16.4278257331,0.578921088225,0.234,17.47,18.109,16.941,16.76,16.71,16.71,1.123,0.028,0.303,0.005,3543435705251629857.pkl
25.4678739638,-0.89099849794,1,c,0.269456461915,0.598817336458,11.3337927422,24,192,0.104229170923,15.0765064092,0.601955559798,0.074,8.5,16.511,15.282,15.331,15.396,15.458,1.191,0.006,0.01,0.004,3554272491855659987.pkl
24.3783860684,0.0441561951215,1,ab,0.539484762201,0.539493004794,7.40052010401,23,72,-0.0602239851951,16.911369745,0.536932273204,0.118,23.9,18.749,17.592,17.48,17.449,17.463,1.102,0.008,0.245,0.012,3554378044971577205.pkl
24.2892292322,0.202272779342,1,ab,0.641688738048,0.641719146352,1.59318557733,27,244,-0.16725489726,17.3961391751,0.649471743968,0.1,25.32,18.913,17.758,17.549,17.478,17.476,1.173,0.024,0.248,0.006,3554395637157621622.pkl
23.2016874708,1.02993627146,1,ab,0.614318300907,0.614308338438,4.56787325447,27,250,0.195617717404,16.7089637562,0.581709803143,0.077,19.75,18.358,17.204,17.031,16.977,16.959,1.111,0.012,0.262,0.012,3554501190274151854.pkl
336.075179635,0.783358529443,1,ab,0.575894767255,0.576797260306,3.13183726733,25,106,0.043308384113,16.5866831324,0.585812448979,0.188,18.7,18.217,17.087,16.908,16.861,16.862,1.145,0.02,0.265,0.008,3579270988224596832.pkl
334.777411879,-0.0557864288995,1,ab,0.636128907018,0.636133417635,1.31017601318,21,108,-0.381930888213,17.9331815234,0.615207609048,0.243,36.34,19.685,18.524,18.36,18.329,18.308,1.095,0.05,0.286,0.014,3597390939850361638.pkl
333.958897308,-0.639241274086,1,ab,0.602795918944,0.602794917151,0.77932487288,21,226,0.231566152489,17.8734341387,0.574309100802,0.269,33.71,19.587,18.384,18.167,18.104,18.091,1.182,0.027,0.312,0.005,3597478900780492890.pkl
335.559553752,1.01664673385,1,c,0.395469574869,0.585237181687,7.67146700564,31,66,-0.133449780864,16.981813532,0.623365049261,0.173,21.01,18.474,17.3,17.213,17.191,17.196,1.157,0.029,0.193,0.007,3615317377429127009.pkl
335.563587635,1.01376440967,1,ab,0.586535092564,0.586559936941,2.24408356156,34,376,-0.245098559588,17.1646973045,0.646699776606,0.173,22.45,18.687,17.497,17.29,17.228,17.208,1.193,0.008,0.278,0.005,3615317377429592664.pkl
335.415069667,0.83327913999,1,ab,0.508395001373,0.508388145358,1.94458701839,25,28,-0.107067407772,15.6572538182,0.536350731455,0.171,12.06,17.303,16.11,15.99,15.969,15.97,1.164,0.01,0.27,0.008,3615334969615647745.pkl
333.031166573,-1.13564540186,1,ab,0.571405302275,0.571387527115,2.59474102661,21,102,0.152708411833,16.5568440447,0.542664604021,0.257,17.08,18.031,16.882,16.724,16.685,16.703,1.129,0.01,0.268,0.003,3615563668033835898.pkl
333.320239707,-0.537616923418,1,c,0.336589855659,0.508209123302,3.40076907016,26,264,-0.059557519862,16.6501717615,0.436911440463,0.254,17.24,18.011,16.841,16.829,16.862,16.905,1.135,0.01,0.096,0.004,3651539688495215971.pkl
25.9201545404,0.507767290145,1,c,0.340179379813,0.462607523302,5.36665833036,21,264,0.186043942074,16.7866618564,0.436911440463,0.111,18.37,18.138,16.989,16.95,16.972,17.007,1.114,0.018,0.116,0.009,3662411659470560264.pkl
333.005489127,-0.0572975376648,1,ab,0.503096383566,0.503086982841,22.8143819007,31,26,-0.142889438899,17.1842966807,0.515991620271,0.165,26.64,18.965,17.824,17.722,17.722,17.735,1.11,0.015,0.249,0.01,3687550893327528516.pkl
333.098412295,0.0825256502933,1,c,0.350514843873,0.350495703302,10.3251523955,27,264,0.0356544642439,15.7870232728,0.436911440463,0.17,11.59,17.154,16.003,15.928,15.924,15.949,1.134,0.005,0.135,0.01,3687550893328132501.pkl
332.805516041,-0.387486473727,1,ab,0.580769203352,0.581772401687,3.51054583609,25,66,-0.169468281846,16.9309122278,0.623365049261,0.25,20.42,18.351,17.259,17.125,17.111,17.119,1.078,0.019,0.234,0.007,3687586077699628281.pkl
332.483161618,-0.647309129466,1,c,0.301655136155,0.432482733302,11.5117468562,41,264,0.172468715419,16.1314709716,0.436911440463,0.245,13.15,17.502,16.254,16.237,16.278,16.325,1.213,0.01,0.114,0.003,3687621262072279440.pkl
332.018972219,-1.05509543216,1,ab,0.616113524717,0.615049117001,2.28584854576,28,50,-0.150207665288,17.6598542372,0.630911694543,0.246,29.39,19.214,18.08,17.877,17.804,17.783,1.15,0.035,0.273,0.012,3687674038630428753.pkl
27.3397392539,-0.22239513476,1,ab,0.604839769638,0.604845898764,2.1420525413,24,180,-0.307351809859,16.670023608,0.616433178532,0.088,19.37,18.287,17.16,16.991,16.954,16.935,1.121,0.011,0.255,0.01,3698334903373287009.pkl
332.994172496,0.192203362041,1,c,0.395282732336,0.629415697212,7.69322684152,25,52,-0.0508210874355,16.1436481709,0.71532981193,0.167,13.85,17.488,16.383,16.328,16.332,16.346,1.044,0.011,0.144,0.01,3705565291837614445.pkl
28.3803953551,-0.571814503106,1,ab,0.602280106502,0.602219535173,1.57703111033,26,62,0.0613295912446,17.1740745057,0.5877128845,0.093,24.72,18.894,17.694,17.515,17.465,17.468,1.21,0.01,0.254,0.005,3716278933138646993.pkl
