#Ra, Dec, RRLIndicator, RRLtype, P_true, P_best, chi2dof, N, tID, phi, r0, P_template, rExt, d, uF, gF, rF, iF, zF, ugmin, ugminErr, grmin, grminErr, file_number, F
359.632273466,-1.00208419607,1,ab,0.625788437679,0.625792571608,5.67261156084,28,64,-0.108652454807,15.6067730219,0.630371258496,0.101,11.8,17.185,16.059,15.947,15.911,15.919,1.094,0.01,0.263,0.006,2263146773683749320,0.99366283611
0.846733433293,-0.994195656381,1,ab,0.647260858223,0.647258430659,0.875569958436,33,200,-0.0657393253463,15.4586647042,0.615069304616,0.098,11.07,17.087,15.933,15.791,15.733,15.731,1.128,0.006,0.265,0.004,2294496049214998325,0.905328326108
359.4748442,0.0831175723236,1,ab,0.613291052572,0.613270216342,0.775517358921,30,69,0.290400272762,17.185107376,0.550375796411,0.103,23.94,18.812,17.638,17.429,17.378,17.371,1.206,0.019,0.282,0.011,2335151591163369476,0.899034304132
0.635707329124,0.56859586681,1,ab,0.793004216445,0.80998921012,3.00739291247,29,113,0.383242973574,18.4175106907,0.630911694543,0.072,40.7,19.865,18.791,18.58,18.514,18.49,1.064,0.021,0.261,0.009,2366659196369021101,0.806799817384
0.283444077818,1.17850012872,1,ab,0.547987422171,0.548005267164,0.656350492825,29,123,0.184909934923,17.1514545832,0.570429663717,0.08,24.77,18.839,17.679,17.544,17.497,17.501,1.161,0.009,0.256,0.009,2384726371436753699,1.0390770863
0.935661893214,1.11581447063,1,ab,0.641754351271,0.641758395993,1.35492989745,36,32,0.285306967558,16.5666647935,0.613291052572,0.089,17.75,18.134,16.989,16.777,16.703,16.685,1.1,0.018,0.279,0.007,2420719984083598201,0.945231572455
3.2546946349,-0.58406842988,1,ab,0.612262983773,0.612271440916,1.64165075018,30,167,-0.0552489623517,17.6102642014,0.586535092564,0.09,29.12,19.288,18.058,17.859,17.792,17.78,1.244,0.023,0.283,0.011,2438505684174295649,0.977516269353
3.17387197599,-0.460741270597,1,c,0.31149403602,0.331100323495,1.48659421653,28,379,-0.118316767421,16.6308292681,0.284336968948,0.075,16.76,17.991,16.761,16.795,16.846,16.898,1.182,0.01,0.037,0.007,2438523276358916783,0.844291127353
356.841149637,-0.484506497438,1,ab,0.625055359102,0.625030198752,1.13702994776,24,222,-0.283764508013,17.2768537622,0.611822155451,0.121,25.28,18.943,17.747,17.556,17.494,17.501,1.192,0.013,0.258,0.006,2443396311894848709,1.00205444255
2.83765543725,0.170534581543,1,ab,0.562574562809,0.562580700965,1.58282543005,26,224,0.148169513209,16.0763455569,0.566206776889,0.09,15.35,17.831,16.648,16.492,16.461,16.461,1.157,0.017,0.268,0.007,2456590451428041141,1.00879635961
2.15029148926,0.65959359868,1,ab,0.612522626959,0.612523492828,1.31808525949,30,213,-0.124410934144,18.6847318724,0.523824647617,0.1,52.84,20.452,19.314,19.204,19.184,19.157,1.071,0.035,0.242,0.008,2456660820172226990,1.19234969763
357.074935381,-0.0220822646624,1,ab,0.570202274343,0.570203650728,1.87043454534,28,131,0.110421501,14.8776624205,0.486398264091,0.078,9.21,16.656,15.509,15.427,15.433,15.432,1.125,0.005,0.237,0.009,2461375526032225634,0.931344066821
3.24436254652,0.218892289202,1,ab,0.631853138777,0.631869968752,1.10557474686,37,11,0.0361634053046,15.1388519983,0.661750971231,0.088,9.13,16.715,15.543,15.336,15.286,15.276,1.179,0.007,0.27,0.004,2474587257751602794,1.16082000549
2.62953743474,1.02568004606,1,ab,0.509529275209,0.5095403086,3.20823906804,32,59,0.0842785274153,18.3001502055,0.663341925321,0.066,42.27,19.944,18.84,18.702,18.669,18.637,1.165,0.023,0.243,0.022,2492672025005135256,0.853057683002
355.823216738,-0.49733721559,1,ab,0.566611085659,0.534637331296,1.7439245723,25,68,-0.0984048224754,19.2816204107,0.509529275209,0.095,65.16,20.983,19.787,19.634,19.581,19.579,1.107,0.098,0.261,0.013,2497492283981469052,1.08155964341
